<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20200515,47.2881,47.8755,46.7496,46.9943,2430890
FPT,20200514,47.9244,48.0712,47.4838,47.6797,2597400
FPT,20200513,46.5411,48.5497,46.4431,48.3160,6853810
FPT,20200512,45.1290,45.4633,44.7947,45.4633,2828190
FPT,20200511,45.1290,45.4633,44.5440,45.1290,2119430
FPT,20200508,44.8782,46.0483,44.7947,44.8783,3585320
FPT,20200507,44.2933,44.7111,43.7918,44.7111,2030720
FPT,20200506,42.6219,44.3769,42.6219,44.2097,3470150
FPT,20200505,42.4547,42.6219,42.1204,42.5383,677990
FPT,20200504,41.9533,42.5383,41.6190,42.2040,895530
FPT,20200429,42.4547,42.9561,42.2040,42.4547,1349230
FPT,20200428,42.3711,42.4547,41.9532,42.3711,974310
FPT,20200427,43.0397,43.0397,42.2039,42.3711,1419750
FPT,20200424,42.5382,42.7889,41.8697,42.6218,1411380
FPT,20200423,43.5411,43.6247,42.6218,42.6218,1363410
FPT,20200422,40.7832,42.7890,40.6997,42.7054,2445860
FPT,20200421,42.2039,42.5382,40.8668,41.2011,3737050
FPT,20200420,43.3740,43.4576,42.3711,42.8725,2239780
FPT,20200417,42.7889,42.8725,41.9532,42.7890,2631630
FPT,20200416,41.5354,42.4547,41.2011,42.0368,1508480
FPT,20200415,42.2039,42.4546,41.6607,41.8697,2205200
FPT,20200414,39.7804,41.3683,39.2790,41.3682,4072050
FPT,20200413,38.7775,39.2789,38.5268,38.8611,1255360
FPT,20200410,38.9447,39.2790,38.3597,38.7775,1882020
FPT,20200409,39.2790,39.7804,38.8611,39.1536,2142370
FPT,20200408,38.5268,39.3208,38.2343,39.1536,1576670
FPT,20200407,39.6968,39.8639,38.8611,39.5297,2463810
FPT,20200406,38.4432,39.6968,38.0253,39.6968,2718990
FPT,20200403,35.9360,37.3149,35.6853,37.2732,2072000
FPT,20200401,34.0975,36.1032,34.0975,35.3510,1453030
FPT,20200331,34.6825,35.4346,33.5125,34.3482,1663050
FPT,20200330,33.8467,34.3482,33.5124,33.7632,2157690
FPT,20200327,37.1060,37.1060,35.8525,36.0196,2633750
FPT,20200326,38.0253,38.3178,36.9389,36.9389,2358310
FPT,20200325,38.4432,38.7775,37.7328,38.4432,2131790
FPT,20200324,37.6075,37.6075,36.3539,37.1896,2191500
FPT,20200323,38.5267,39.1953,37.1060,37.1061,2826690
FPT,20200320,40.2818,40.3235,39.5714,39.8639,1291360
FPT,20200319,39.7803,40.1982,39.7803,39.8639,1296590
FPT,20200318,40.9504,41.0339,40.4071,40.4489,1642800
FPT,20200317,39.2790,40.5326,38.8611,40.5325,2474650
FPT,20200316,40.2400,41.5354,39.6968,39.7804,1898960
FPT,20200313,37.8582,41.7861,37.7746,40.2400,2919140
FPT,20200312,40.6161,41.2011,39.5297,40.1982,3981670
FPT,20200311,43.4575,43.8754,41.3682,42.4547,2753310
FPT,20200310,42.6218,43.4575,42.0368,43.2068,2030340
FPT,20200309,42.7890,43.4576,42.0368,42.0368,4735140
FPT,20200306,45.2961,45.3797,44.7111,45.1290,1305030
FPT,20200305,46.3826,46.7169,45.6304,45.6304,1296450
FPT,20200304,46.3826,46.3826,45.8812,46.3826,1660790
